date,followers,likes
2025-07-01,1204224,108
2025-07-02,1204506,110
2025-07-03,1204788,108
2025-07-04,1205062,122
2025-07-05,1205358,112
2025-07-06,1205632,126
2025-07-07,1205912,112
2025-07-08,1206204,124
2025-07-09,1206495,124
2025-07-10,1206771,111
2025-07-11,1207072,106
2025-07-12,1207347,127
2025-07-13,1207625,123
2025-07-14,1207926,107
2025-07-15,1208217,113
2025-07-16,1208500,123
2025-07-17,1208780,124
2025-07-18,1209056,112
2025-07-19,1209332,123
2025-07-20,1209623,120
2025-07-21,1209923,107
2025-07-22,1210203,119
2025-07-23,1210487,116
2025-07-24,1210772,125
2025-07-25,1211047,127
2025-07-26,1211329,126
2025-07-27,1211617,109
2025-07-28,1211909,107
2025-07-29,1212199,122
2025-07-30,1212496,116
2025-07-31,1212796,120
2025-08-01,1213094,126
2025-08-02,1213389,112
2025-08-03,1213676,110
2025-08-04,1213968,108
2025-08-05,1214255,106
2025-08-06,1214531,128
2025-08-07,1214809,119
2025-08-08,1215082,121
2025-08-09,1215355,116
2025-08-10,1215634,113
2025-08-11,1215910,110
2025-08-12,1216204,119
2025-08-13,1216496,115
2025-08-14,1216776,120
2025-08-15,1217060,107
2025-08-16,1217355,121
2025-08-17,1217630,118
2025-08-18,1217909,111
2025-08-19,1218197,119
2025-08-20,1218497,107
2025-08-21,1218785,119
2025-08-22,1219071,125
2025-08-23,1219368,109
2025-08-24,1219655,106
2025-08-25,1219941,128
2025-08-26,1220237,125
2025-08-27,1220537,126
2025-08-28,1220829,118
2025-08-29,1221125,114
2025-08-30,1221420,109
2025-08-31,1221698,115
2025-09-01,1221989,121
2025-09-02,1222270,122
2025-09-03,1222558,109
2025-09-04,1222856,110
2025-09-05,1223140,119
2025-09-06,1223415,120
2025-09-07,1223709,110
2025-09-08,1223983,118
2025-09-09,1224283,108
2025-09-10,1224577,120
2025-09-11,1224867,127
2025-09-12,1225168,122
2025-09-13,1225454,107
2025-09-14,1225753,115
2025-09-15,1226032,118
2025-09-16,1226317,108
2025-09-17,1226596,124
2025-09-18,1226893,120
2025-09-19,1227188,111
2025-09-20,1227487,117
2025-09-21,1227765,128
2025-09-22,1228051,114
2025-09-23,1228341,113
2025-09-24,1228621,117
2025-09-25,1228922,126
2025-09-26,1229197,126
2025-09-27,1229481,127
2025-09-28,1229781,107
2025-09-29,1230080,120
2025-09-30,1230361,122
