date,followers,likes
2025-07-01,325645,33
2025-07-02,325707,33
2025-07-03,325764,34
2025-07-04,325826,32
2025-07-05,325887,33
2025-07-06,325948,34
2025-07-07,326007,34
2025-07-08,326065,36
2025-07-09,326123,36
2025-07-10,326183,30
2025-07-11,326242,31
2025-07-12,326300,30
2025-07-13,326358,35
2025-07-14,326415,30
2025-07-15,326475,32
2025-07-16,326536,31
2025-07-17,326597,31
2025-07-18,326654,34
2025-07-19,326711,30
2025-07-20,326769,34
2025-07-21,326826,34
2025-07-22,326887,31
2025-07-23,326946,35
2025-07-24,327003,31
2025-07-25,327064,31
2025-07-26,327121,35
2025-07-27,327183,32
2025-07-28,327240,33
2025-07-29,327301,36
2025-07-30,327358,35
2025-07-31,327420,31
2025-08-01,327481,36
2025-08-02,327539,33
2025-08-03,327601,36
2025-08-04,327658,35
2025-08-05,327719,30
2025-08-06,327779,32
2025-08-07,327838,34
2025-08-08,327899,36
2025-08-09,327957,35
2025-08-10,328018,34
2025-08-11,328078,33
2025-08-12,328139,30
2025-08-13,328199,30
2025-08-14,328260,36
2025-08-15,328320,33
2025-08-16,328382,32
2025-08-17,328444,33
2025-08-18,328506,30
2025-08-19,328563,35
2025-08-20,328624,31
2025-08-21,328681,35
2025-08-22,328742,31
2025-08-23,328799,32
2025-08-24,328857,35
2025-08-25,328914,33
2025-08-26,328972,30
2025-08-27,329031,35
2025-08-28,329090,34
2025-08-29,329151,33
2025-08-30,329208,36
2025-08-31,329268,36
2025-09-01,329328,36
2025-09-02,329390,35
2025-09-03,329450,35
2025-09-04,329510,33
2025-09-05,329570,33
2025-09-06,329629,34
2025-09-07,329691,36
2025-09-08,329749,31
2025-09-09,329808,34
2025-09-10,329865,33
2025-09-11,329924,35
2025-09-12,329984,34
2025-09-13,330041,33
2025-09-14,330099,34
2025-09-15,330156,36
2025-09-16,330214,32
2025-09-17,330274,34
2025-09-18,330334,30
2025-09-19,330396,31
2025-09-20,330456,33
2025-09-21,330517,34
2025-09-22,330574,31
2025-09-23,330635,33
2025-09-24,330695,30
2025-09-25,330756,31
2025-09-26,330816,33
2025-09-27,330877,30
2025-09-28,330938,30
2025-09-29,330999,34
2025-09-30,331060,36
