date,followers,likes
2025-07-01,786040,171
2025-07-02,786074,169
2025-07-03,786107,166
2025-07-04,786140,172
2025-07-05,786172,169
2025-07-06,786205,179
2025-07-07,786239,174
2025-07-08,786272,167
2025-07-09,786306,182
2025-07-10,786339,161
2025-07-11,786373,182
2025-07-12,786407,162
2025-07-13,786439,187
2025-07-14,786471,189
2025-07-15,786505,166
2025-07-16,786539,161
2025-07-17,786571,177
2025-07-18,786604,162
2025-07-19,786637,174
2025-07-20,786670,180
2025-07-21,786703,174
2025-07-22,786736,165
2025-07-23,786768,182
2025-07-24,786800,175
2025-07-25,786833,186
2025-07-26,786865,161
2025-07-27,786899,167
2025-07-28,786931,182
2025-07-29,786963,191
2025-07-30,786995,183
2025-07-31,787027,169
2025-08-01,787060,171
2025-08-02,787092,176
2025-08-03,787124,166
2025-08-04,787157,175
2025-08-05,787190,175
2025-08-06,787223,163
2025-08-07,787257,185
2025-08-08,787290,159
2025-08-09,787323,170
2025-08-10,787356,160
2025-08-11,787388,176
2025-08-12,787421,186
2025-08-13,787453,191
2025-08-14,787487,161
2025-08-15,787519,159
2025-08-16,787551,180
2025-08-17,787584,177
2025-08-18,787616,187
2025-08-19,787648,172
2025-08-20,787682,164
2025-08-21,787714,160
2025-08-22,787748,172
2025-08-23,787781,169
2025-08-24,787814,162
2025-08-25,787846,166
2025-08-26,787879,177
2025-08-27,787911,174
2025-08-28,787944,169
2025-08-29,787976,160
2025-08-30,788009,157
2025-08-31,788043,160
2025-09-01,788076,157
2025-09-02,788109,157
2025-09-03,788142,182
2025-09-04,788176,178
2025-09-05,788209,171
2025-09-06,788241,173
2025-09-07,788273,181
2025-09-08,788306,174
2025-09-09,788340,175
2025-09-10,788374,179
2025-09-11,788408,158
2025-09-12,788441,158
2025-09-13,788475,185
2025-09-14,788507,164
2025-09-15,788539,185
2025-09-16,788573,190
2025-09-17,788605,162
2025-09-18,788637,178
2025-09-19,788671,191
2025-09-20,788704,182
2025-09-21,788736,186
2025-09-22,788770,190
2025-09-23,788804,190
2025-09-24,788837,177
2025-09-25,788869,176
2025-09-26,788902,188
2025-09-27,788934,180
2025-09-28,788966,158
2025-09-29,789000,187
2025-09-30,789032,185
