date,followers,likes
2025-07-01,3566266,59
2025-07-02,3566500,67
2025-07-03,3566715,67
2025-07-04,3566935,59
2025-07-05,3567154,60
2025-07-06,3567387,58
2025-07-07,3567602,70
2025-07-08,3567819,57
2025-07-09,3568039,61
2025-07-10,3568257,68
2025-07-11,3568486,57
2025-07-12,3568717,60
2025-07-13,3568931,57
2025-07-14,3569160,64
2025-07-15,3569375,70
2025-07-16,3569593,70
2025-07-17,3569809,57
2025-07-18,3570043,61
2025-07-19,3570277,58
2025-07-20,3570516,68
2025-07-21,3570734,60
2025-07-22,3570953,58
2025-07-23,3571187,69
2025-07-24,3571409,69
2025-07-25,3571648,59
2025-07-26,3571865,66
2025-07-27,3572082,66
2025-07-28,3572312,57
2025-07-29,3572522,58
2025-07-30,3572761,55
2025-07-31,3572991,63
2025-08-01,3573216,63
2025-08-02,3573438,62
2025-08-03,3573666,70
2025-08-04,3573889,59
2025-08-05,3574125,60
2025-08-06,3574341,65
2025-08-07,3574572,56
2025-08-08,3574798,68
2025-08-09,3575035,63
2025-08-10,3575262,63
2025-08-11,3575495,65
2025-08-12,3575709,55
2025-08-13,3575921,70
2025-08-14,3576134,68
2025-08-15,3576363,60
2025-08-16,3576595,56
2025-08-17,3576805,58
2025-08-18,3577031,64
2025-08-19,3577259,62
2025-08-20,3577495,64
2025-08-21,3577723,57
2025-08-22,3577957,58
2025-08-23,3578174,58
2025-08-24,3578384,65
2025-08-25,3578616,70
2025-08-26,3578829,60
2025-08-27,3579066,59
2025-08-28,3579301,70
2025-08-29,3579528,61
2025-08-30,3579741,56
2025-08-31,3579980,62
2025-09-01,3580204,59
2025-09-02,3580429,56
2025-09-03,3580658,56
2025-09-04,3580880,64
2025-09-05,3581097,62
2025-09-06,3581336,66
2025-09-07,3581567,66
2025-09-08,3581793,66
2025-09-09,3582018,67
2025-09-10,3582241,69
2025-09-11,3582467,66
2025-09-12,3582694,55
2025-09-13,3582933,59
2025-09-14,3583154,61
2025-09-15,3583373,57
2025-09-16,3583590,62
2025-09-17,3583811,68
2025-09-18,3584044,57
2025-09-19,3584268,55
2025-09-20,3584482,67
2025-09-21,3584704,67
2025-09-22,3584942,69
2025-09-23,3585157,65
2025-09-24,3585397,68
2025-09-25,3585615,69
2025-09-26,3585839,62
2025-09-27,3586056,57
2025-09-28,3586270,63
2025-09-29,3586507,69
2025-09-30,3586745,62
